date,Rat_ID,sex,water_deprivation_h,solution,Taste,body weight(g),active licks,inactivelicks, active licks/inactive licks
2019-07-01,1,f,0,0.4000%,saccharine,248,4660,2,2330
2019-07-01,2,f,0,0.4000%,saccharine,251,1955,17,115
2019-07-01,3,f,0,0.4000%,saccharine,268,3834,11,348.5454545
2019-07-01,4,f,0,0.1000%,quinine,261,54,39,1.384615385
2019-07-01,5,f,0,0.1000%,quinine,274,7,1,7
2019-07-01,6,f,0,0.1000%,quinine,280,21,76,0.276315789
2019-07-01,7,m,0,0.4000%,saccharine,472,2315,27,85.74074074
2019-07-01,8,m,0,0.4000%,saccharine,441,1750,33,53.03030303
2019-07-01,9,m,0,0.4000%,saccharine,476,1926,18,107
2019-07-01,10,m,0,0.1000%,quinine,439,41,4,10.25
2019-07-01,11,m,0,0.1000%,quinine,426,21,1,21
2019-07-01,12,m,0,0.1000%,quinine,398,16,30,0.533333333
2019-07-02,1,f,0,0.1000%,quinine,248,66,70,0.942857143
2019-07-02,2,f,0,0.1000%,quinine,258,90,50,1.8
2019-07-02,3,f,0,0.1000%,quinine,266,98,49,2
2019-07-02,4,f,0,0.4000%,saccharine,266,1655,21,78.80952381
2019-07-02,5,f,0,0.4000%,saccharine,280,4104,2,2052
2019-07-02,6,f,0,0.4000%,saccharine,278,2716,92,29.52173913
2019-07-02,7,m,0,0.1000%,quinine,477,27,33,0.818181818
2019-07-02,8,m,0,0.1000%,quinine,447,150,73,2.054794521
2019-07-02,9,m,0,0.1000%,quinine,482,29,2,14.5
2019-07-02,10,m,0,0.4000%,saccharine,443,3625,7,517.8571429
2019-07-02,11,m,0,0.4000%,saccharine,422,4797,1,4797
2019-07-02,12,m,0,0.4000%,saccharine,401,1,24,0.041666667
